ordinal	assembly	fullName	name	action	target	basis
41	SomeEngine.Graphics	SomeEngine.Graphics.CommandList	CommandList	保留	CommandList	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
42	SomeEngine.Graphics	SomeEngine.Graphics.CompareOperation	CompareOperation	保留	CompareOperation	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
43	SomeEngine.Graphics	SomeEngine.Graphics.ComputePipelineDesc	ComputePipelineDesc	保留	ComputePipelineDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
44	SomeEngine.Graphics	SomeEngine.Graphics.CullMode	CullMode	保留	CullMode	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
45	SomeEngine.Graphics	SomeEngine.Graphics.DepthAttachmentPayload	DepthAttachmentPayload	合并	RenderingAttachmentInfo	颜色、深度、模板和 resolve 都是同一 attachment info，不再各包一层。
46	SomeEngine.Graphics	SomeEngine.Graphics.DepthStencil	DepthStencil	改名	DepthStencilState	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
47	SomeEngine.Graphics	SomeEngine.Graphics.DescriptorWrite	DescriptorWrite	合并	WriteDescriptorSet	descriptor write 使用 Vulkan 的一个 flat WriteDescriptorSet；不保留每资源一种 subclass。
48	SomeEngine.Graphics	SomeEngine.Graphics.DeviceCapabilities	DeviceCapabilities	保留	DeviceCapabilities	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
49	SomeEngine.Graphics	SomeEngine.Graphics.DeviceDomain	DeviceDomain	删除	—	generation/domain 仅为 wrapper 与 backend owner 双层模型服务；owner 合并后全部消失。
50	SomeEngine.Graphics	SomeEngine.Graphics.DeviceDomainAccess	DeviceDomainAccess	删除	—	generation/domain 仅为 wrapper 与 backend owner 双层模型服务；owner 合并后全部消失。
51	SomeEngine.Graphics	SomeEngine.Graphics.DeviceError	DeviceError	删除	—	DeviceError 与 DebugMessage 保存同一错误两遍；统一为 DebugMessage/异常与 native result。
52	SomeEngine.Graphics	SomeEngine.Graphics.DeviceErrorKind	DeviceErrorKind	删除	—	DeviceError 与 DebugMessage 保存同一错误两遍；统一为 DebugMessage/异常与 native result。
53	SomeEngine.Graphics	SomeEngine.Graphics.DeviceLimits	DeviceLimits	保留	DeviceLimits	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
54	SomeEngine.Graphics	SomeEngine.Graphics.DevicePosition	DevicePosition	删除	—	多个 queue completion 直接使用 GraphicsFence span；不再把集合升级成 DevicePosition/Wait owner。
55	SomeEngine.Graphics	SomeEngine.Graphics.DevicePosition.Enumerator	Enumerator	删除	—	多个 queue completion 直接使用 GraphicsFence span；不再把集合升级成 DevicePosition/Wait owner。
56	SomeEngine.Graphics	SomeEngine.Graphics.DevicePositionWait	DevicePositionWait	删除	—	多个 queue completion 直接使用 GraphicsFence span；不再把集合升级成 DevicePosition/Wait owner。
57	SomeEngine.Graphics	SomeEngine.Graphics.DispatchArguments	DispatchArguments	保留	DispatchArguments	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
58	SomeEngine.Graphics	SomeEngine.Graphics.DrawIndexedIndirectArguments	DrawIndexedIndirectArguments	改名	DrawIndexedArguments	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
59	SomeEngine.Graphics	SomeEngine.Graphics.DrawIndirectArguments	DrawIndirectArguments	改名	DrawArguments	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
60	SomeEngine.Graphics	SomeEngine.Graphics.FillMode	FillMode	保留	FillMode	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
61	SomeEngine.Graphics	SomeEngine.Graphics.FilterMode	FilterMode	保留	FilterMode	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
62	SomeEngine.Graphics	SomeEngine.Graphics.Format	Format	保留	Format	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
63	SomeEngine.Graphics	SomeEngine.Graphics.FormatBlockLayout	FormatBlockLayout	保留	FormatBlockLayout	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
64	SomeEngine.Graphics	SomeEngine.Graphics.FormatExtensions	FormatExtensions	保留	FormatExtensions	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
65	SomeEngine.Graphics	SomeEngine.Graphics.FormatSupport	FormatSupport	保留	FormatSupport	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
66	SomeEngine.Graphics	SomeEngine.Graphics.FrontFace	FrontFace	保留	FrontFace	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
67	SomeEngine.Graphics	SomeEngine.Graphics.GraphicsDiagnostic	GraphicsDiagnostic	改名	DebugMessage	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
68	SomeEngine.Graphics	SomeEngine.Graphics.GraphicsDiagnosticSeverity	GraphicsDiagnosticSeverity	改名	DebugMessageSeverity	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
69	SomeEngine.Graphics	SomeEngine.Graphics.Heap	Heap	保留	Heap	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
70	SomeEngine.Graphics	SomeEngine.Graphics.HeapDesc	HeapDesc	保留	HeapDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
71	SomeEngine.Graphics	SomeEngine.Graphics.IBindGroupLayoutOwner	IBindGroupLayoutOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
72	SomeEngine.Graphics	SomeEngine.Graphics.IBindGroupOwner	IBindGroupOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
73	SomeEngine.Graphics	SomeEngine.Graphics.IBindlessSlotOwner	IBindlessSlotOwner	删除	—	DescriptorHandle 由 DescriptorHeap 直接分配和回收，不保留 slot-owner 接口。
74	SomeEngine.Graphics	SomeEngine.Graphics.IBindlessTableOwner	IBindlessTableOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
75	SomeEngine.Graphics	SomeEngine.Graphics.IBufferOwner	IBufferOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
76	SomeEngine.Graphics	SomeEngine.Graphics.IBufferViewOwner	IBufferViewOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
77	SomeEngine.Graphics	SomeEngine.Graphics.ICommandRecorder	ICommandRecorder	删除	—	唯一 CommandList 同时承担 recording 与 Close；删除 recorder/finished/native capability 纵向接口。
78	SomeEngine.Graphics	SomeEngine.Graphics.IDevice	IDevice	合并	Device	public Device 改为唯一抽象 owner；现有接口不再形成额外层。
79	SomeEngine.Graphics	SomeEngine.Graphics.IDeviceDomainSource	IDeviceDomainSource	删除	—	generation/domain 仅为 wrapper 与 backend owner 双层模型服务；owner 合并后全部消失。
80	SomeEngine.Graphics	SomeEngine.Graphics.IFinishedCommandList	IFinishedCommandList	删除	—	唯一 CommandList 同时承担 recording 与 Close；删除 recorder/finished/native capability 纵向接口。
81	SomeEngine.Graphics	SomeEngine.Graphics.IHeapOwner	IHeapOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
82	SomeEngine.Graphics	SomeEngine.Graphics.INativeCommandRecorder	INativeCommandRecorder	删除	—	唯一 CommandList 同时承担 recording 与 Close；删除 recorder/finished/native capability 纵向接口。
83	SomeEngine.Graphics	SomeEngine.Graphics.IndexFormat	IndexFormat	保留	IndexFormat	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
84	SomeEngine.Graphics	SomeEngine.Graphics.InitialAccelerationStructureBuild	InitialAccelerationStructureBuild	合并	AccelerationStructureBuildGeometryInfo	Vulkan 的一个 AccelerationStructureBuildGeometryInfo 已包含 mode/src/dst/scratch/geometry。
85	SomeEngine.Graphics	SomeEngine.Graphics.IPipelineLayoutOwner	IPipelineLayoutOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
86	SomeEngine.Graphics	SomeEngine.Graphics.IPipelineOwner	IPipelineOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
87	SomeEngine.Graphics	SomeEngine.Graphics.IQueryPoolOwner	IQueryPoolOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
88	SomeEngine.Graphics	SomeEngine.Graphics.IQueueBackend	IQueueBackend	删除	—	Queue 直接由 backend subclass 实现；IQueueBackend 转发层删除。
89	SomeEngine.Graphics	SomeEngine.Graphics.ISamplerOwner	ISamplerOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
90	SomeEngine.Graphics	SomeEngine.Graphics.ISwapchainImageOwner	ISwapchainImageOwner	删除	—	AcquireNextImage 返回 image index/Texture 与 GraphicsFence；不创建第二个 swapchain-image owner。
91	SomeEngine.Graphics	SomeEngine.Graphics.ISwapchainOwner	ISwapchainOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
92	SomeEngine.Graphics	SomeEngine.Graphics.ITextureOwner	ITextureOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
93	SomeEngine.Graphics	SomeEngine.Graphics.ITextureViewOwner	ITextureViewOwner	删除	—	backend 实体直接继承这些 public owner；全部 I*Owner 转发接口删除。
94	SomeEngine.Graphics	SomeEngine.Graphics.ITransientResourceAllocator	ITransientResourceAllocator	删除	—	TransientResourceAllocator 是唯一 pool；source/allocator 接口和 claim generation 协议都是重复纵向层。
95	SomeEngine.Graphics	SomeEngine.Graphics.ITransientResourceSource	ITransientResourceSource	删除	—	TransientResourceAllocator 是唯一 pool；source/allocator 接口和 claim generation 协议都是重复纵向层。
96	SomeEngine.Graphics	SomeEngine.Graphics.IWorkGraphOwner	IWorkGraphOwner	删除	—	backend owner 直接继承 WorkGraph；不再由 IWorkGraphOwner 回调释放。
97	SomeEngine.Graphics	SomeEngine.Graphics.LoadAction	LoadAction	保留	LoadAction	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
98	SomeEngine.Graphics	SomeEngine.Graphics.MemoryBudget	MemoryBudget	保留	MemoryBudget	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
99	SomeEngine.Graphics	SomeEngine.Graphics.MemoryType	MemoryType	保留	MemoryType	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
100	SomeEngine.Graphics	SomeEngine.Graphics.MeshPipelineDesc	MeshPipelineDesc	保留	MeshPipelineDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
101	SomeEngine.Graphics	SomeEngine.Graphics.MeshShaderTier	MeshShaderTier	保留	MeshShaderTier	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
102	SomeEngine.Graphics	SomeEngine.Graphics.PhysicalAllocationId	PhysicalAllocationId	删除	—	真实 placement 直接引用 Heap、offset、size；不再发明 allocation id/placement 中间身份。
103	SomeEngine.Graphics	SomeEngine.Graphics.PhysicalPlacement	PhysicalPlacement	删除	—	真实 placement 直接引用 Heap、offset、size；不再发明 allocation id/placement 中间身份。
104	SomeEngine.Graphics	SomeEngine.Graphics.Pipeline	Pipeline	保留	Pipeline	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
105	SomeEngine.Graphics	SomeEngine.Graphics.PipelineBindingPolicy	PipelineBindingPolicy	删除	—	pipeline ready/pending/fallback 是 cache 决策，不是 command binding 的类层级。
106	SomeEngine.Graphics	SomeEngine.Graphics.PipelineBindingResult	PipelineBindingResult	删除	—	pipeline ready/pending/fallback 是 cache 决策，不是 command binding 的类层级。
107	SomeEngine.Graphics	SomeEngine.Graphics.PipelineCacheKey	PipelineCacheKey	保留	PipelineCacheKey	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
108	SomeEngine.Graphics	SomeEngine.Graphics.PipelineCacheStatistics	PipelineCacheStatistics	保留	PipelineCacheStatistics	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
109	SomeEngine.Graphics	SomeEngine.Graphics.PipelineCompilationStatistics	PipelineCompilationStatistics	保留	PipelineCompilationStatistics	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
110	SomeEngine.Graphics	SomeEngine.Graphics.PipelineDescriptorKey	PipelineDescriptorKey	合并	PipelineCacheKey	两个 pipeline key 系统合为一个 cache key；静态转发容器内联。
111	SomeEngine.Graphics	SomeEngine.Graphics.PipelineDescriptorKeys	PipelineDescriptorKeys	合并	PipelineCacheKey	两个 pipeline key 系统合为一个 cache key；静态转发容器内联。
112	SomeEngine.Graphics	SomeEngine.Graphics.PipelineLayout	PipelineLayout	保留	PipelineLayout	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
113	SomeEngine.Graphics	SomeEngine.Graphics.PipelineLayout.OccupiedRange	OccupiedRange	改名	DescriptorRange	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
114	SomeEngine.Graphics	SomeEngine.Graphics.PipelineLayout.ShaderRegisterClass	ShaderRegisterClass	改名	DescriptorRangeType	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
115	SomeEngine.Graphics	SomeEngine.Graphics.PipelineLayoutDesc	PipelineLayoutDesc	改名	PipelineLayoutCreateInfo	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
116	SomeEngine.Graphics	SomeEngine.Graphics.PipelineStatistics	PipelineStatistics	保留	PipelineStatistics	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
117	SomeEngine.Graphics	SomeEngine.Graphics.PipelineStatus	PipelineStatus	保留	PipelineStatus	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
118	SomeEngine.Graphics	SomeEngine.Graphics.PipelineType	PipelineType	删除	—	Pipeline 的实际 owner/创建入口已经区分类型，不再维护可漂移的 PipelineType。
119	SomeEngine.Graphics	SomeEngine.Graphics.PipelineWarmupResult	PipelineWarmupResult	保留	PipelineWarmupResult	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
120	SomeEngine.Graphics	SomeEngine.Graphics.PresentOptions	PresentOptions	改名	PresentInfo	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
121	SomeEngine.Graphics	SomeEngine.Graphics.PresentResult	PresentResult	保留	PresentResult	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
122	SomeEngine.Graphics	SomeEngine.Graphics.PrimitiveTopology	PrimitiveTopology	保留	PrimitiveTopology	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
123	SomeEngine.Graphics	SomeEngine.Graphics.PushConstantBinding	PushConstantBinding	改名	PushConstantRange	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
124	SomeEngine.Graphics	SomeEngine.Graphics.QueryPool	QueryPool	保留	QueryPool	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
125	SomeEngine.Graphics	SomeEngine.Graphics.QueryPoolDesc	QueryPoolDesc	改名	QueryPoolCreateInfo	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
126	SomeEngine.Graphics	SomeEngine.Graphics.QueryType	QueryType	保留	QueryType	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
127	SomeEngine.Graphics	SomeEngine.Graphics.Queue	Queue	保留	Queue	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
128	SomeEngine.Graphics	SomeEngine.Graphics.QueuePosition	QueuePosition	改名	GraphicsFence	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
129	SomeEngine.Graphics	SomeEngine.Graphics.QueueSupport	QueueSupport	改名	QueueFlags	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
130	SomeEngine.Graphics	SomeEngine.Graphics.QueueType	QueueType	保留	QueueType	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
131	SomeEngine.Graphics	SomeEngine.Graphics.Rasterizer	Rasterizer	改名	RasterizerState	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
132	SomeEngine.Graphics	SomeEngine.Graphics.RasterPipelineDesc	RasterPipelineDesc	保留	RasterPipelineDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
133	SomeEngine.Graphics	SomeEngine.Graphics.RayDispatch	RayDispatch	改名	DispatchRaysDesc	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
134	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingAabbGeometry	RayTracingAabbGeometry	改名	AccelerationStructureGeometryAabbsData	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
135	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingGeometryFlags	RayTracingGeometryFlags	改名	GeometryFlags	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
136	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingHitGroup	RayTracingHitGroup	改名	HitGroupDesc	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
137	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingHitGroupType	RayTracingHitGroupType	改名	HitGroupType	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
138	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingLibrary	RayTracingLibrary	改名	DxilLibrary	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
139	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingLocalRootAssociation	RayTracingLocalRootAssociation	改名	SubobjectToExportsAssociation	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
140	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingPipelineDesc	RayTracingPipelineDesc	改名	RayTracingPipelineCreateInfo	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
141	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingShaderRecord	RayTracingShaderRecord	改名	ShaderRecord	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
142	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingShaderTable	RayTracingShaderTable	改名	ShaderBindingTable	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
143	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingTier	RayTracingTier	保留	RayTracingTier	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
144	SomeEngine.Graphics	SomeEngine.Graphics.RayTracingTriangleGeometry	RayTracingTriangleGeometry	改名	AccelerationStructureGeometryTrianglesData	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
145	SomeEngine.Graphics	SomeEngine.Graphics.RenderingColorAttachment	RenderingColorAttachment	合并	RenderingAttachmentInfo	颜色、深度、模板和 resolve 都是同一 attachment info，不再各包一层。
146	SomeEngine.Graphics	SomeEngine.Graphics.RenderingContinuationKey	RenderingContinuationKey	合并	RenderingInfo	跨 command list 的 rendering continuation 直接保存规范化 RenderingInfo；不再另建 Key。
147	SomeEngine.Graphics	SomeEngine.Graphics.RenderingDepthStencilAttachment	RenderingDepthStencilAttachment	合并	RenderingAttachmentInfo	颜色、深度、模板和 resolve 都是同一 attachment info，不再各包一层。
148	SomeEngine.Graphics	SomeEngine.Graphics.RenderingFlags	RenderingFlags	保留	RenderingFlags	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
149	SomeEngine.Graphics	SomeEngine.Graphics.RenderingSetup	RenderingSetup	改名	RenderingInfo	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
150	SomeEngine.Graphics	SomeEngine.Graphics.RequireReadyPipelineBinding	RequireReadyPipelineBinding	删除	—	pipeline ready/pending/fallback 是 cache 决策，不是 command binding 的类层级。
151	SomeEngine.Graphics	SomeEngine.Graphics.ResidencyPriority	ResidencyPriority	保留	ResidencyPriority	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
